,document,topic,distr
38,1997\15_main_body.txt,0,"[9.23951275e-01 2.16552835e-07 2.59521402e-07 2.23452962e-07
 2.19981997e-07 2.65457851e-07 2.85607885e-07 2.65319014e-07
 2.75428156e-07 2.62613772e-07 2.34113291e-07 2.71451964e-09]"
39,1997\16_main_body.txt,-1,"[0.11504078 0.05885786 0.07013915 0.05454291 0.05609216 0.07172674
 0.07359405 0.06156055 0.06658953 0.07431236 0.05807053 0.00017842]"
40,1997\18_main_body.txt,0,"[9.99999997e-01 1.14456773e-12 1.35977494e-12 1.16082678e-12
 1.13412129e-12 1.28924146e-12 1.62654633e-12 1.30976632e-12
 1.30800434e-12 1.33768789e-12 1.21175219e-12 7.00499375e-13]"
41,1997\19_main_body.txt,0,"[9.63581912e-01 9.94615016e-20 1.18128010e-19 1.02075292e-19
 9.98680214e-20 1.14591151e-19 1.40418649e-19 1.15859327e-19
 1.16892508e-19 1.16906949e-19 1.05775096e-19 1.06781184e-21]"
42,1997\20_main_body.txt,0,"[7.87901848e-01 7.51996632e-03 8.53174157e-03 7.97750058e-03
 7.76739597e-03 8.64584680e-03 9.65850871e-03 8.98925756e-03
 9.02634932e-03 8.47271305e-03 8.07700130e-03 7.63686179e-05]"
43,1997\21_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
44,1997\22_main_body.txt,0,"[9.99972605e-01 2.28615726e-06 2.66711371e-06 2.36171019e-06
 2.33543736e-06 2.76660755e-06 2.96862793e-06 2.76036038e-06
 2.86079942e-06 2.69876513e-06 2.44119664e-06 1.24495909e-06]"
45,1997\23_main_body.txt,-1,"[1.97069538e-01 5.18554568e-02 6.31801520e-02 5.28053325e-02
 5.10245537e-02 5.83695397e-02 7.72772356e-02 6.08030183e-02
 6.02361314e-02 6.16152344e-02 5.55903482e-02 1.32868567e-10]"
46,1997\24_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
47,1997\25_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
48,1997\26_main_body.txt,0,"[9.99997386e-01 2.24559501e-07 2.55589496e-07 2.40214157e-07
 2.32315534e-07 2.58173725e-07 2.86813091e-07 2.75980859e-07
 2.73184310e-07 2.53478947e-07 2.44595259e-07 6.49645054e-08]"
49,1997\28_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
50,1997\29_main_body.txt,0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
51,1997\30_main_body.txt,0,"[9.99999996e-01 1.88776095e-13 2.27358837e-13 1.89653489e-13
 1.85766273e-13 2.13968093e-13 2.73287483e-13 2.14912794e-13
 2.15769990e-13 2.23993573e-13 1.99427007e-13 5.72329393e-14]"
52,1997\31_main_body.txt,0,"[9.99997008e-01 2.51687228e-07 2.99064321e-07 2.58641871e-07
 2.49793491e-07 2.79843684e-07 3.56150686e-07 2.93845389e-07
 2.88968193e-07 2.91583696e-07 2.70231432e-07 1.48301982e-07]"
