,document,topic,distr
75,1998\31_main_body.txt,8,"[3.3095288e-01 3.9304402e-02 1.4397079e-01 5.4513737e-05 2.7802004e-03
 1.8044045e-02 5.4513737e-05 1.6899258e-03 4.1163322e-01 5.4513737e-05
 1.4228085e-02 7.1412995e-03 2.4040557e-02 6.0510249e-03]"
76,1998\32_main_body.txt,0,"[5.45110285e-01 5.12018427e-02 3.30918655e-02 1.64636149e-04
 1.64636149e-04 1.99374378e-01 1.16891665e-02 1.64636149e-04
 2.81527825e-02 1.64636149e-04 1.81099761e-03 1.81099761e-03
 1.12117216e-01 1.49818901e-02]"
77,1998\33_main_body.txt,8,"[3.3364725e-01 1.9877069e-02 2.7312381e-02 4.9568753e-05 4.9568753e-05
 1.2545851e-01 4.9568753e-05 4.9568753e-05 4.0155643e-01 1.5366313e-03
 1.5415882e-02 4.9568753e-05 6.4935065e-03 6.8454452e-02]"
78,1998\34_main_body.txt,0,"[4.2665529e-01 6.5427899e-05 5.8950536e-02 2.6825438e-03 6.5427899e-05
 5.6987699e-02 6.5427899e-05 6.5427899e-05 3.8020149e-01 2.7545143e-02
 5.9539387e-03 6.5427899e-05 3.0162260e-02 1.0533892e-02]"
79,1998\35_main_body.txt,0,"[3.2737654e-01 4.5504790e-02 2.7081797e-02 1.6642103e-02 6.1409970e-05
 1.8859003e-01 6.1409970e-05 1.2343405e-02 1.0501105e-02 5.5883075e-03
 8.1122577e-02 9.8870061e-03 2.0824122e-01 6.6998281e-02]"
80,1998\36_main_body.txt,0,"[3.1379738e-01 3.9087795e-02 1.5906495e-01 6.7130076e-03 4.7609981e-05
 7.0034288e-02 4.7609981e-05 7.3366985e-02 2.3524092e-01 2.4804799e-02
 6.0512286e-02 4.7609981e-05 1.7187202e-02 4.7609981e-05]"
81,1998\37_main_body.txt,5,"[1.7092173e-01 9.3861461e-05 2.9097050e-03 6.6641634e-03 9.3861461e-05
 3.1359115e-01 9.3861461e-05 9.3861461e-05 8.3630554e-02 2.5436455e-02
 9.3861461e-05 2.0743383e-02 1.3149990e-01 2.4413367e-01]"
82,1998\38_main_body.txt,0,"[5.1020294e-01 1.0818454e-01 9.1549300e-02 5.5450815e-05 2.2734834e-03
 1.0541200e-01 3.3824996e-03 5.5450815e-05 2.7780857e-02 5.5450815e-05
 5.5450815e-05 7.2640567e-03 1.4367306e-01 5.5450815e-05]"
83,1998\39_main_body.txt,0,"[0.5032949  0.03377265 0.00082372 0.03377265 0.00082372 0.10790774
 0.00082372 0.00082372 0.01729819 0.04200988 0.00082372 0.00082372
 0.13261944 0.12438221]"
84,1998\40_main_body.txt,0,"[5.3119534e-01 2.4270538e-02 5.0490789e-02 6.7231413e-05 4.7734301e-03
 2.5554660e-01 6.7231413e-05 6.7231413e-05 7.4626869e-03 3.2338306e-02
 6.1920129e-02 6.7231413e-05 3.1665992e-02 6.7231413e-05]"
